[2026-08-09 21:46:21] SUPPRESSED (poor R:R after SR widening) - would have been BUY 3/4 @ 4343.73 | ATR 0.507 | reasons: MACD bullish crossover, Price near support (4342.20), H1 trend is UP
[2026-08-09 22:23:19] NEAR MISS - would be BUY 2/4, 1 short @ 4345.95 | RSI 87.02 | Trend(H1) UP | reasons: Price near support (4342.20), H1 trend is UP
[2026-08-09 22:58:31] NEAR MISS - would be SELL 2/4, 1 short @ 4341.23 | RSI 40.88 | Trend(H1) UP | reasons: RSI healthy/bearish at 40.9, Price near resistance (4342.46)
[2026-08-10 00:03:56] NEAR MISS - would be BUY 2/4, 1 short @ 4333.87 | RSI 32.9 | Trend(H1) UP | reasons: Price near support (4333.42), H1 trend is UP
[2026-08-10 04:17:42] NEAR MISS - would be BUY 2/4, 1 short @ 4332.05 | RSI 50.88 | Trend(H1) UP | reasons: RSI healthy/bullish at 50.9, H1 trend is UP
[2026-08-10 07:19:26] NEAR MISS - would be BUY 2/4, 1 short @ 4351.32 | RSI 60.33 | Trend(H1) UP | reasons: RSI healthy/bullish at 60.3, H1 trend is UP
[2026-08-10 10:14:16] NEAR MISS - would be BUY 2/4, 1 short @ 4341.88 | RSI 46.63 | Trend(H1) UP | reasons: Price near support (4340.00), H1 trend is UP
[2026-08-10 11:27:32] NEAR MISS - would be BUY 2/4, 1 short @ 4330.99 | RSI 36.65 | Trend(H1) UP | reasons: Price near support (4330.32), H1 trend is UP
[2026-08-10 12:08:24] NEAR MISS - would be BUY 2/4, 1 short @ 4335.93 | RSI 43.4 | Trend(H1) UP | reasons: Price near support (4332.94), H1 trend is UP
[2026-08-10 13:41:53] NEAR MISS - would be BUY 2/4, 1 short @ 4333.06 | RSI 43.73 | Trend(H1) UP | reasons: Price near support (4332.94), H1 trend is UP
[2026-08-10 16:30:43] NEAR MISS - would be BUY 2/4, 1 short @ 4363.37 | RSI 66.86 | Trend(H1) UP | reasons: RSI healthy/bullish at 66.9, H1 trend is UP
[2026-08-10 17:35:17] NEAR MISS - would be BUY 2/4, 1 short @ 4360.26 | RSI 61.04 | Trend(H1) UP | reasons: RSI healthy/bullish at 61.0, H1 trend is UP
[2026-08-10 18:32:24] NEAR MISS - would be BUY 2/4, 1 short @ 4366.87 | RSI 65.14 | Trend(H1) UP | reasons: RSI healthy/bullish at 65.1, H1 trend is UP
[2026-08-10 21:10:24] NEAR MISS - would be BUY 2/4, 1 short @ 4389.99 | RSI 72.83 | Trend(H1) UP | reasons: Price near support (4386.54), H1 trend is UP
[2026-08-10 22:34:52] NEAR MISS - would be BUY 2/4, 1 short @ 4392.48 | RSI 72.75 | Trend(H1) UP | reasons: Price near support (4388.40), H1 trend is UP
[2026-08-10 23:59:31] NEAR MISS - would be BUY 2/4, 1 short @ 4398.83 | RSI 71.98 | Trend(H1) UP | reasons: Price near support (4394.99), H1 trend is UP
[2026-08-11 03:53:59] NEAR MISS - would be BUY 2/4, 1 short @ 4417.24 | RSI 59.73 | Trend(H1) UP | reasons: RSI healthy/bullish at 59.7, H1 trend is UP
[2026-08-11 07:34:57] NEAR MISS - would be BUY 2/4, 1 short @ 4363.78 | RSI 24.55 | Trend(H1) UP | reasons: Price near support (4360.53), H1 trend is UP
[2026-08-11 09:39:58] NEAR MISS - would be SELL 2/4, 1 short @ 4375.68 | RSI 45.68 | Trend(H1) UP | reasons: RSI healthy/bearish at 45.7, Price near resistance (4376.37)
[2026-08-11 10:32:19] NEAR MISS - would be BUY 2/4, 1 short @ 4380.6 | RSI 51.64 | Trend(H1) UP | reasons: RSI healthy/bullish at 51.6, H1 trend is UP
[2026-08-11 11:29:01] NEAR MISS - would be BUY 2/4, 1 short @ 4392.47 | RSI 61.16 | Trend(H1) UP | reasons: RSI healthy/bullish at 61.2, H1 trend is UP
[2026-08-11 12:10:33] NEAR MISS - would be BUY 2/4, 1 short @ 4388.62 | RSI 56.8 | Trend(H1) UP | reasons: RSI healthy/bullish at 56.8, H1 trend is UP
[2026-08-11 13:41:16] NEAR MISS - would be BUY 2/4, 1 short @ 4399.38 | RSI 62.66 | Trend(H1) UP | reasons: RSI healthy/bullish at 62.7, H1 trend is UP
[2026-08-11 14:43:36] NEAR MISS - would be BUY 2/4, 1 short @ 4386.87 | RSI 49.37 | Trend(H1) UP | reasons: Price near support (4382.97), H1 trend is UP
[2026-08-11 15:40:28] NEAR MISS - would be BUY 2/4, 1 short @ 4386.98 | RSI 48.33 | Trend(H1) UP | reasons: Price near support (4382.97), H1 trend is UP
[2026-08-11 16:34:38] NEAR MISS - would be BUY 2/4, 1 short @ 4383.44 | RSI 47.46 | Trend(H1) UP | reasons: Price near support (4382.97), H1 trend is UP
[2026-08-11 17:39:23] NEAR MISS - would be BUY 2/4, 1 short @ 4379.53 | RSI 44.06 | Trend(H1) UP | reasons: Price near support (4378.25), H1 trend is UP
[2026-08-11 18:34:48] NEAR MISS - would be BUY 2/4, 1 short @ 4363.21 | RSI 32.2 | Trend(H1) UP | reasons: Price near support (4361.29), H1 trend is UP
[2026-08-11 19:44:43] NEAR MISS - would be BUY 2/4, 1 short @ 4370.28 | RSI 42.46 | Trend(H1) UP | reasons: Price near support (4370.26), H1 trend is UP
[2026-08-11 20:25:41] NEAR MISS - would be BUY 2/4, 1 short @ 4370.82 | RSI 44.18 | Trend(H1) UP | reasons: Price near support (4370.26), H1 trend is UP
[2026-08-11 21:13:06] NEAR MISS - would be BUY 2/4, 1 short @ 4367.72 | RSI 41.43 | Trend(H1) UP | reasons: Price near support (4366.97), H1 trend is UP
[2026-08-11 22:05:12] NEAR MISS - would be BUY 2/4, 1 short @ 4368.45 | RSI 42.57 | Trend(H1) UP | reasons: Price near support (4368.15), H1 trend is UP
[2026-08-11 23:01:07] NEAR MISS - would be BUY 2/4, 1 short @ 4370.27 | RSI 45.5 | Trend(H1) UP | reasons: Price near support (4370.26), H1 trend is UP
[2026-08-11 23:58:06] NEAR MISS - would be BUY 2/4, 1 short @ 4367.87 | RSI 43.61 | Trend(H1) UP | reasons: Price near support (4367.25), H1 trend is UP
[2026-08-12 04:16:45] NEAR MISS - would be BUY 2/4, 1 short @ 4396.94 | RSI 56.05 | Trend(H1) UP | reasons: RSI healthy/bullish at 56.1, H1 trend is UP
[2026-08-12 05:53:00] NEAR MISS - would be BUY 2/4, 1 short @ 4389.74 | RSI 45.61 | Trend(H1) UP | reasons: Price near support (4385.18), H1 trend is UP
[2026-08-12 07:15:28] NEAR MISS - would be BUY 2/4, 1 short @ 4405.78 | RSI 61.04 | Trend(H1) UP | reasons: RSI healthy/bullish at 61.0, H1 trend is UP
